,Number of Locations,min_number,max_number,mean_number,GreaterFour
163,4,1,99,31.635210672178122,1
164,4,1,96,22.68180447240295,1
165,3,1,96,25.798314435419034,0
166,4,1,95,22.075271054876907,1
167,3,1,99,26.604370909988887,0
168,2,1,96,27.869179090741763,0
169,3,1,90,21.497345290679515,0
170,4,1,93,20.34176951300867,1
171,3,1,93,24.21493010403121,0
172,3,1,96,29.986748289521067,0
173,4,1,97,19.73630242757428,1
174,4,1,89,20.924663520363573,1
175,2,1,96,19.754039082935837,0
176,3,1,92,34.540954160080474,0
177,4,1,93,30.06436192915066,1
178,6,1,93,24.518739861692136,1
179,3,1,97,28.97378572681045,0
180,3,1,91,27.549558390578998,0
181,4,1,98,34.42764535753466,1
182,4,1,88,27.332605600379686,1
183,4,1,99,23.35216860109957,1
184,3,1,88,18.610243958839174,0
185,3,1,78,19.479357162648935,0
186,2,1,94,18.275232479020186,0
187,4,1,90,25.221113402061857,1
188,2,1,80,16.529948186528497,0
189,3,1,85,20.787344199424737,0
190,3,1,98,34.15947204968944,0
191,3,1,88,23.70992547024725,0
192,3,1,85,19.341093665403356,0
193,3,1,89,21.99936061381074,0
194,4,1,93,32.95904511607534,1
195,2,3,95,33.73383409536251,0
196,1,1,93,30.88330341113106,0
197,1,1,95,34.55686430561082,0
198,1,1,81,19.64982876712329,0
199,1,1,85,34.09175257731959,0
200,1,1,98,52.73510902970877,0
201,1,1,93,28.380176826430898,0
202,1,1,87,31.78560411311054,0
203,1,1,93,33.984347387023476,0
204,1,1,91,35.8768954509178,0
205,1,1,81,23.56669318483161,0
206,1,1,94,28.191144708423327,0
207,1,1,94,36.00676791020139,0
208,2,1,88,27.073465592064476,0
209,1,1,85,25.4921875,0
210,1,1,81,24.48138957816377,0
211,1,1,87,29.52466942964279,0
212,4,1,99,46.89891107540866,1
213,3,1,95,30.28444608840392,0
214,2,1,91,29.101502381824844,0
215,4,1,96,42.46436285097192,1
216,1,1,93,25.861782661782662,0
217,2,1,93,27.18520807581376,0
218,4,1,99,47.34898880160455,1
219,2,1,99,35.72641922763973,0
220,1,1,91,31.05761316872428,0
221,2,1,96,31.282028265453103,0
222,2,1,93,31.92821550918717,0
223,1,1,96,22.472259644825474,0
224,2,1,95,29.095547267117926,0
225,1,1,95,23.36022506938372,0
226,1,1,94,27.802006897088184,0
227,2,1,93,22.512036886860216,0
228,2,1,87,22.50222306309715,0
229,4,1,85,16.61304263377683,1
230,3,14,70,36.945578231292515,0
231,3,1,72,23.233695652173914,0
232,2,4,90,51.63157894736842,0
233,4,2,88,18.548387096774192,1
234,2,7,87,33.07368421052632,0
235,3,16,24,20.142857142857142,0
236,5,24,78,56.9625,1
237,2,19,36,27.25,0
238,2,24,37,32.93333333333333,0
